Sample Name	Protocol REF	Parameter Value[Type Of Sample]	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Name Of Kit]	Parameter Value[Company Name]	Assay Name	Raw Data File	Protocol REF	Parameter Value[Submitted Results File]	Parameter Value[Transformed Files]
C002_serum_R+82	Sample Preparation - Cardiovascular HDCVD9	Serum	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Assay Information - Cardiovascular HDCVD9	Human Cardiovascular Disease Panel 3 9-Plex Discovery Assay® Array (HDCVD9)	Eve Technologies (Calgary, Canada)	Multiplex	Not Available	ALSDA Transformed Data	LSDS-8_Multiplex_serum.cardiovascular.EvePanel_SUBMITTED.csv	LSDS-8_Multiplex_serum_cardiovascular_EvePanel_TRANSFORMED.csv
C003_serum_L-3	Sample Preparation - Cardiovascular HDCVD9	Serum	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Assay Information - Cardiovascular HDCVD9	Human Cardiovascular Disease Panel 3 9-Plex Discovery Assay® Array (HDCVD9)	Eve Technologies (Calgary, Canada)	Multiplex	Not Available	ALSDA Transformed Data	LSDS-8_Multiplex_serum.cardiovascular.EvePanel_SUBMITTED.csv	LSDS-8_Multiplex_serum_cardiovascular_EvePanel_TRANSFORMED.csv
C003_serum_L-44	Sample Preparation - Cardiovascular HDCVD9	Serum	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Assay Information - Cardiovascular HDCVD9	Human Cardiovascular Disease Panel 3 9-Plex Discovery Assay® Array (HDCVD9)	Eve Technologies (Calgary, Canada)	Multiplex	Not Available	ALSDA Transformed Data	LSDS-8_Multiplex_serum.cardiovascular.EvePanel_SUBMITTED.csv	LSDS-8_Multiplex_serum_cardiovascular_EvePanel_TRANSFORMED.csv
C003_serum_L-92	Sample Preparation - Cardiovascular HDCVD9	Serum	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Assay Information - Cardiovascular HDCVD9	Human Cardiovascular Disease Panel 3 9-Plex Discovery Assay® Array (HDCVD9)	Eve Technologies (Calgary, Canada)	Multiplex	Not Available	ALSDA Transformed Data	LSDS-8_Multiplex_serum.cardiovascular.EvePanel_SUBMITTED.csv	LSDS-8_Multiplex_serum_cardiovascular_EvePanel_TRANSFORMED.csv
C003_serum_R+1	Sample Preparation - Cardiovascular HDCVD9	Serum	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Assay Information - Cardiovascular HDCVD9	Human Cardiovascular Disease Panel 3 9-Plex Discovery Assay® Array (HDCVD9)	Eve Technologies (Calgary, Canada)	Multiplex	Not Available	ALSDA Transformed Data	LSDS-8_Multiplex_serum.cardiovascular.EvePanel_SUBMITTED.csv	LSDS-8_Multiplex_serum_cardiovascular_EvePanel_TRANSFORMED.csv
C003_serum_R+194	Sample Preparation - Cardiovascular HDCVD9	Serum	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Assay Information - Cardiovascular HDCVD9	Human Cardiovascular Disease Panel 3 9-Plex Discovery Assay® Array (HDCVD9)	Eve Technologies (Calgary, Canada)	Multiplex	Not Available	ALSDA Transformed Data	LSDS-8_Multiplex_serum.cardiovascular.EvePanel_SUBMITTED.csv	LSDS-8_Multiplex_serum_cardiovascular_EvePanel_TRANSFORMED.csv
C003_serum_R+45	Sample Preparation - Cardiovascular HDCVD9	Serum	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Assay Information - Cardiovascular HDCVD9	Human Cardiovascular Disease Panel 3 9-Plex Discovery Assay® Array (HDCVD9)	Eve Technologies (Calgary, Canada)	Multiplex	Not Available	ALSDA Transformed Data	LSDS-8_Multiplex_serum.cardiovascular.EvePanel_SUBMITTED.csv	LSDS-8_Multiplex_serum_cardiovascular_EvePanel_TRANSFORMED.csv
C003_serum_R+82	Sample Preparation - Cardiovascular HDCVD9	Serum	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Assay Information - Cardiovascular HDCVD9	Human Cardiovascular Disease Panel 3 9-Plex Discovery Assay® Array (HDCVD9)	Eve Technologies (Calgary, Canada)	Multiplex	Not Available	ALSDA Transformed Data	LSDS-8_Multiplex_serum.cardiovascular.EvePanel_SUBMITTED.csv	LSDS-8_Multiplex_serum_cardiovascular_EvePanel_TRANSFORMED.csv
C004_serum_L-3	Sample Preparation - Cardiovascular HDCVD9	Serum	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Assay Information - Cardiovascular HDCVD9	Human Cardiovascular Disease Panel 3 9-Plex Discovery Assay® Array (HDCVD9)	Eve Technologies (Calgary, Canada)	Multiplex	Not Available	ALSDA Transformed Data	LSDS-8_Multiplex_serum.cardiovascular.EvePanel_SUBMITTED.csv	LSDS-8_Multiplex_serum_cardiovascular_EvePanel_TRANSFORMED.csv
C004_serum_L-44	Sample Preparation - Cardiovascular HDCVD9	Serum	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Assay Information - Cardiovascular HDCVD9	Human Cardiovascular Disease Panel 3 9-Plex Discovery Assay® Array (HDCVD9)	Eve Technologies (Calgary, Canada)	Multiplex	Not Available	ALSDA Transformed Data	LSDS-8_Multiplex_serum.cardiovascular.EvePanel_SUBMITTED.csv	LSDS-8_Multiplex_serum_cardiovascular_EvePanel_TRANSFORMED.csv
C004_serum_L-92	Sample Preparation - Cardiovascular HDCVD9	Serum	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Assay Information - Cardiovascular HDCVD9	Human Cardiovascular Disease Panel 3 9-Plex Discovery Assay® Array (HDCVD9)	Eve Technologies (Calgary, Canada)	Multiplex	Not Available	ALSDA Transformed Data	LSDS-8_Multiplex_serum.cardiovascular.EvePanel_SUBMITTED.csv	LSDS-8_Multiplex_serum_cardiovascular_EvePanel_TRANSFORMED.csv
C004_serum_R+1	Sample Preparation - Cardiovascular HDCVD9	Serum	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Assay Information - Cardiovascular HDCVD9	Human Cardiovascular Disease Panel 3 9-Plex Discovery Assay® Array (HDCVD9)	Eve Technologies (Calgary, Canada)	Multiplex	Not Available	ALSDA Transformed Data	LSDS-8_Multiplex_serum.cardiovascular.EvePanel_SUBMITTED.csv	LSDS-8_Multiplex_serum_cardiovascular_EvePanel_TRANSFORMED.csv
C004_serum_R+194	Sample Preparation - Cardiovascular HDCVD9	Serum	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Assay Information - Cardiovascular HDCVD9	Human Cardiovascular Disease Panel 3 9-Plex Discovery Assay® Array (HDCVD9)	Eve Technologies (Calgary, Canada)	Multiplex	Not Available	ALSDA Transformed Data	LSDS-8_Multiplex_serum.cardiovascular.EvePanel_SUBMITTED.csv	LSDS-8_Multiplex_serum_cardiovascular_EvePanel_TRANSFORMED.csv
C004_serum_R+45	Sample Preparation - Cardiovascular HDCVD9	Serum	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Assay Information - Cardiovascular HDCVD9	Human Cardiovascular Disease Panel 3 9-Plex Discovery Assay® Array (HDCVD9)	Eve Technologies (Calgary, Canada)	Multiplex	Not Available	ALSDA Transformed Data	LSDS-8_Multiplex_serum.cardiovascular.EvePanel_SUBMITTED.csv	LSDS-8_Multiplex_serum_cardiovascular_EvePanel_TRANSFORMED.csv
C004_serum_R+82	Sample Preparation - Cardiovascular HDCVD9	Serum	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Assay Information - Cardiovascular HDCVD9	Human Cardiovascular Disease Panel 3 9-Plex Discovery Assay® Array (HDCVD9)	Eve Technologies (Calgary, Canada)	Multiplex	Not Available	ALSDA Transformed Data	LSDS-8_Multiplex_serum.cardiovascular.EvePanel_SUBMITTED.csv	LSDS-8_Multiplex_serum_cardiovascular_EvePanel_TRANSFORMED.csv
